---------------------------------------


Marginal Probabilities
---------------------------------------
_ : 0.16886
a : 0.06137
c : 0.02802
b : 0.01209
e : 0.10498
d : 0.02649
g : 0.01583
f : 0.01928
i : 0.06334
h : 0.03892
k : 0.00347
j : 0.00061
m : 0.02201
l : 0.03705
o : 0.0696
n : 0.05686
q : 0.00089
p : 0.0189
s : 0.05635
r : 0.04802
u : 0.02306
t : 0.08034
w : 0.01292
v : 0.01113
y : 0.01721
x : 0.00162
z : 0.00073


Emission Probabilities
---------------------------------------
P( k | u ) = 0.00027
P( k | v ) = 0.00055
P( k | w ) = 0.00047
P( k | x ) = 0.00348
P( k | y ) = 0.00036
P( k | z ) = 0.00694
P( l | _ ) = 4e-05
P( l | a ) = 0.0001
P( l | b ) = 0.00051
P( l | c ) = 0.00022
P( l | d ) = 0.00023
P( l | e ) = 6e-05
P( l | f ) = 0.00032
P( l | g ) = 0.00039
P( l | h ) = 0.00016
P( l | i ) = 0.0001
P( l | j ) = 0.00794
P( l | k ) = 0.03413
P( l | l ) = 0.80154
P( l | m ) = 0.00028
P( l | n ) = 0.00011
P( l | o ) = 0.05173
P( l | p ) = 0.10065
P( l | q ) = 0.00588
P( l | r ) = 0.00013
P( l | s ) = 0.00011
P( l | t ) = 8e-05
P( l | u ) = 0.00027
P( l | v ) = 0.00055
P( l | w ) = 0.00047
P( l | x ) = 0.00348
P( l | y ) = 0.00036
P( l | z ) = 0.00694
P( m | _ ) = 4e-05
P( m | a ) = 0.0001
P( m | b ) = 0.00051
P( m | c ) = 0.00022
P( m | d ) = 0.00023
P( m | e ) = 6e-05
P( m | f ) = 0.00032
P( m | g ) = 0.00039
P( m | h ) = 0.00016
P( m | i ) = 0.0001
P( m | j ) = 0.02381
P( m | k ) = 0.04778
P( m | l ) = 0.00017
P( m | m ) = 0.8
P( m | n ) = 0.04836
P( m | o ) = 9e-05
P( m | p ) = 0.00033
P( m | q ) = 0.00588
P( m | r ) = 0.00013
P( m | s ) = 0.00011
P( m | t ) = 8e-05
P( m | u ) = 0.00027
P( m | v ) = 0.00055
P( m | w ) = 0.00047
P( m | x ) = 0.00348
P( m | y ) = 0.00036
P( m | z ) = 0.00694
P( n | _ ) = 4e-05
P( n | a ) = 0.0001
P( n | b ) = 0.05319
P( n | c ) = 0.00022
P( n | d ) = 0.00023
P( n | e ) = 6e-05
P( n | f ) = 0.00032
P( n | g ) = 0.00039
P( n | h ) = 0.04513
P( n | i ) = 0.0001
P( n | j ) = 0.03175
P( n | k ) = 0.00171
P( n | l ) = 0.00017
P( n | m ) = 0.0619
P( n | n ) = 0.79414
P( n | o ) = 9e-05
P( n | p ) = 0.00033
P( n | q ) = 0.00588
P( n | r ) = 0.00013
P( n | s ) = 0.00011
P( n | t ) = 8e-05
P( n | u ) = 0.00027
P( n | v ) = 0.00055
P( n | w ) = 0.00047
P( n | x ) = 0.00348
P( n | y ) = 0.00036
P( n | z ) = 0.00694
P( o | _ ) = 4e-05
P( o | a ) = 0.0001
P( o | b ) = 0.00051
P( o | c ) = 0.00022
P( o | d ) = 0.00023
P( o | e ) = 6e-05
P( o | f ) = 0.00032
P( o | g ) = 0.00039
P( o | h ) = 0.00016
P( o | i ) = 0.05262
P( o | j ) = 0.00794
P( o | k ) = 0.00171
P( o | l ) = 0.06577
P( o | m ) = 0.00028
P( o | n ) = 0.00011
P( o | o ) = 0.79363
P( o | p ) = 0.0987
P( o | q ) = 0.00588
P( o | r ) = 0.00013
P( o | s ) = 0.00011
P( o | t ) = 8e-05
P( o | u ) = 0.00027
P( o | v ) = 0.00055
P( o | w ) = 0.00047
P( o | x ) = 0.00348
P( o | y ) = 0.00036
P( o | z ) = 0.00694
P( p | _ ) = 4e-05
P( p | a ) = 0.0001
P( p | b ) = 0.00051
P( p | c ) = 0.00022
P( p | d ) = 0.00023
P( p | e ) = 6e-05
P( p | f ) = 0.00032
